V1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
H21,14826.694950487317,12970.207067059535,11563.108036216825,10371.16958626209,9609.570727410155,9279.099956899736,9371.204878795008,9850.850881972696,10768.962048065481,12193.471524814593,13891.869096009113,15540.778681273896,16974.57886512079,18026.283881576026,18696.38731619645,19078.7670064057,19359.130421225458,19519.8721552306,19396.92275420981,18924.603032523595,18219.569668476663,17331.2558924666,16048.505818485051,14509.539130174915,13158.55544560347,12039.295728475889,11179.455623184835,10501.659086844475,10057.693805356103,9889.651479362521,9975.75083612608,10385.051950843872,11219.331175930314,12432.166231922305,13702.840770009767,14924.437405804203,16014.4062310667,16857.08216970809,17400.51351146685,17747.697024997753,18005.639364298553,18167.48978393743,18109.543767875875,17735.319830303975,17090.555002547444,16230.776208926298,15155.44382094647,14160.772021025305
H22,619.4437788433704,600.2853100499026,580.590583060574,564.5798767337358,552.9567009083527,543.9227104703995,537.1541841233659,531.3147560018081,527.4760821913658,527.674145696833,531.8720105128016,539.2887726039107,548.9627088338921,559.2261451741166,568.7349704091135,577.0692257673519,585.3808548294172,592.2787577949432,598.4083409254644,604.9019359096523,608.3338669919145,608.1425497569345,602.7243337302037,593.4462511041072,584.2281644197086,575.8179099272625,568.596133842992,562.2303340319586,557.0005610403548,552.3025769052081,547.8863803041612,544.0311363690386,542.3019974862859,543.2674572438361,547.7696984839512,554.6415901219851,563.0871266391066,571.1167818067601,578.1592373486003,583.9740772627567,588.9519255894562,592.9113942365004,595.7338696599472,597.3958668058216,596.9688347737185,593.8634562998648,587.8553637588738,581.4854997569278
H27,1777.8431113894108,1587.7449437266143,1438.4799054834953,1336.4532453540692,1286.092832124152,1289.6379203114193,1341.56532855843,1427.2487187190334,1523.4504165755932,1643.4150803727966,1769.8659758759056,1912.263721128631,2046.982589646914,2161.2463996028705,2230.67307330898,2263.0792358236395,2283.6316942146104,2291.8641070215017,2278.017552216656,2241.1884241020366,2167.749188871084,2079.00995824682,1976.4420853293204,1839.2369376907304,1709.3305669561157,1590.4077548360951,1500.4209987534125,1443.011558195668,1417.1159535088648,1427.3834640781672,1467.9495816362883,1522.62883430822,1587.536587027032,1667.3219155406532,1739.9147783411133,1824.6426855225952,1907.177352908555,1976.0786046199123,2021.6573093696102,2041.0554508476696,2054.2959671213125,2055.6634508642323,2047.5458243744506,2022.702259349396,1981.486528494831,1934.3196378928515,1876.8970262434086,1811.0824003954363
H34,52437.53643631518,48926.31440317661,45188.878546069725,42032.33160176679,39461.861357131376,37780.18748466059,36819.37616930387,36436.91099772004,36679.85574802045,37495.11198156282,38917.4360729007,40567.25842536609,42023.46028580487,43007.791251119925,43791.54519583745,44594.349328146316,45226.58978165022,45232.21586564287,45099.51537218321,44948.64150292238,44838.71060000524,44429.01202630266,43396.57315568745,41605.06357910182,39372.468945214576,37689.51353311531,36285.545053862865,35200.19944667618,34453.96757986864,34017.03385572725,33980.200023363206,34232.34634841306,34860.85582979873,35912.15413357322,37093.98446393252,38349.01266267855,39548.30267489446,40557.876091549886,41341.99403653637,42122.28504311073,42744.20766270074,43058.477795251725,43126.067236551215,43090.21294275971,42899.30616771101,42329.71564379859,41209.93496718297,39638.37604859481
H45,41955.499911412226,37544.12694067274,34362.06110959743,31747.079131342158,29986.792838287332,29013.23992938847,28704.21083777893,28893.02375530453,29455.698452022443,30852.478200713034,32871.47595460972,35152.50356723368,37479.40245254859,39193.305519935355,40026.09001714665,40291.443337458084,40272.00709859215,39898.70922890148,39197.954058676725,38127.891864223464,36840.97959479811,35402.13262546872,33841.11740988846,32084.23695144123,30500.021322017557,29239.218695038846,28438.388344406467,27976.45905448345,27766.720506752943,27753.19792135289,27919.89040705145,28409.761996727644,29410.230582372853,30947.33721780357,32659.836893367345,34399.46510087233,36167.97556594016,37560.69887026085,38246.196662583694,38381.34107912476,38290.61046950791,38052.046439176454,37533.33332420329,36595.52707379049,35293.64171558205,33895.3854701465,32585.17479258093,31541.034552881472
H52,2255.879021923435,2080.738054070041,1972.3924906322366,1895.4997912465901,1856.4761270470965,1858.1731551316725,1899.2752070039137,1970.8590439158452,2080.155418543056,2246.5483715019645,2454.8900065970925,2658.3547363872676,2809.352103128912,2893.9552557895945,2918.44272711565,2917.4345290958786,2924.87542776483,2940.263317701838,2938.1897473731765,2894.026869078053,2822.585323651278,2720.6546237834355,2561.129684995782,2379.8005734694934,2233.977311176567,2134.6717665542806,2077.7457108522453,2047.464490139883,2037.5761606069962,2047.0375515094759,2071.4137092748974,2120.725721600118,2209.273081877935,2331.1194698047,2459.5777724645527,2575.6445252360595,2665.8453213470057,2709.0774623084008,2711.2239379008024,2706.2602362384737,2709.5159505356414,2724.380886630441,2732.181845896073,2710.37311899394,2663.1600578873977,2584.764486412458,2477.696574147295,2379.9889063996206
H66,35283.0303328249,31221.155854876433,26871.319904083986,22758.76470170405,19259.784802265378,16498.91897103584,14447.872913677456,12929.396727108624,12114.916838337973,12044.584514557542,12604.037500213148,13789.651519082661,15906.318248398778,18547.98237667771,21130.00090467929,23352.696620335755,25033.005532347463,26553.9125148158,27767.08368069711,28946.58134841455,29872.48366040578,30030.028085721948,29283.586676386454,27230.821046836383,24221.629746558996,21217.31583342031,18541.993829997897,16459.370158905214,14895.790900618285,13730.408584068335,12816.267105718347,11917.639401426593,11146.306533756357,10836.431888699237,11129.190068062158,12014.890591303203,13516.723522442047,15359.617096545853,17096.153795593378,18552.63432919296,19824.06953509135,21104.563267609985,22312.23435660543,23424.983097839802,24190.535117809537,24385.265102430625,23783.780913187547,22234.58908790405
H103,150044.82478215607,133606.75618641239,120254.64766804609,109832.5338416843,103025.50720005187,100720.9855328899,102537.96094960328,107366.34542806605,114884.4727101679,123291.79513600621,132680.94743457422,143375.7878966231,153631.59783016975,162443.20754383522,168866.468205081,172798.8764819319,174914.82563173206,174667.5163332692,172272.1908107851,167358.94966477616,160555.51996022562,153414.2993862462,145550.01752975144,135999.58457198905,126358.9553148657,119025.50012171625,113613.38929827485,110057.7418139207,108410.72981758838,108784.90875155827,111432.46097667587,115157.64539717263,119773.3879807265,124667.90955812528,129987.74360309546,135917.36934899213,142341.75194610475,148343.52513483213,152549.15870985284,155163.2206640369,156490.71464637428,156591.14417359908,155150.00162427186,151788.92524122796,146987.8713273712,141621.19319698244,135924.3711722885,130553.93875874352
H124,-411.946802440745,-164.00172280668482,121.30315357575694,399.2138541774931,789.1086267012395,1325.315228534522,1986.0896702508455,2636.5442446463644,3125.532948096841,3540.18178747461,3914.132441205362,3940.2870366843817,3512.8123934406376,2655.2408073662864,1860.623479185238,1418.6962097463079,1201.8917531344714,1099.09714265509,1050.6662001530744,974.0318886918835,852.0459634884395,655.4119285295316,467.4172348094125,371.80192801943275,387.4350355715796,452.11150571171993,555.7652642216948,745.3455112927112,1069.901223306474,1499.2151426785545,1959.7254046811372,2461.7384544497663,2837.3549512353134,3164.405113475713,3308.572352177455,3171.846839730291,2754.3530921642896,2152.5594651466017,1652.308919696189,1363.9387779565782,1246.9488544704084,1227.1755058436158,1227.667050239978,1180.0317958154246,1059.9806639912836,869.6033892625903,693.2418836638813,612.4760817573606
H139,-514.5468709594835,-505.91144961294594,-233.6904251186149,141.32294266851346,620.7502542225276,968.407643053606,1220.8427119475805,1466.8192591764628,1702.6704922985155,1870.4225611071677,1936.4035971386784,1834.0332799264706,1560.4418405131887,1227.72878667967,997.2480054587603,870.0638821532591,805.4858015648227,780.1297155385275,760.0051713571625,707.6005192152476,602.5179327062672,498.1512029106624,421.0035670875311,387.04618051558134,386.62944418237083,426.13309002879356,521.0169400363449,704.5680079352696,955.727297840001,1193.2785672370258,1397.8664051352175,1577.687157850075,1740.8022735196841,1822.340423228335,1775.7363211627223,1611.5749205534516,1361.5729756991905,1114.6877448265514,951.7267453920907,874.7195289289278,850.3527895557424,842.1671449514466,813.4846480968166,758.1198834508891,657.9239565249568,549.350768232222,472.6631854000557,451.63281694252635
