V1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
M3,13662.125536037613,13602.472663890245,13678.195429855903,13590.778485332376,13442.260218910797,13411.555844068604,13344.810407681534,13468.994944667942,13595.225644905966,13613.635781113871,13560.313302611852,13668.48533493197,13596.431388737854,13619.912967645754,13688.05599254957,13657.912799879176,13609.554464410305,13606.314298024181
M32,3549.73452400051,3490.8353849983487,3711.139653951434,3832.485744245145,3554.5190224171647,3622.2011974189077,3692.151851993028,3639.800251128337,3627.5472434908497,3525.835118479835,3662.6613119231715,3747.249248629617,3790.811326168545,3741.316375564469,3763.406035975663,3774.8784110859733,3665.782670988331,3698.5358548896174
M39,2178.7969002618656,2243.8911933628656,2276.0059837078393,2335.110148145134,2402.8349919988996,2396.0520462444347,2336.7610205910787,2367.5184100680917,2379.748203296015,2374.7115389055525,2460.5795758257163,2388.7889244950934,2376.0255365721755,2401.792486746567,2415.7738135714644,2447.9967052034476,2481.524604526832,2471.0731031884397
M41,3837.942718503686,3821.20113758132,3909.881554858388,3995.84396120153,4139.952676418473,4342.776196601361,4751.376262281571,4977.82469542243,4900.026694341633,4402.067596704004,4216.749806098852,4118.45156028362,4198.556794442209,4283.441459505941,4333.029067527368,4352.849987138949,4381.6167987678855,4451.660319911464
M48,683.8553674683058,680.6022928105529,790.6483805069846,849.3427476208087,858.6965336793924,804.0599951202407,822.9070727149001,795.708732088118,792.547624392281,833.4566086535707,756.1632169556799,773.6102555116506,764.8073950318557,770.7454267990039,796.5999232974981,828.8360720853755,829.0080297739127,806.1138071756145
M71,7972.208856291334,7441.250125838061,7193.643512065995,6822.535981597106,6687.907676885179,6675.938817489672,6308.647452936816,6666.592002454625,6814.290010406607,6450.040522972612,6639.023363291571,6562.739277783961,6408.734756616171,6265.822225510671,6165.922357940915,5998.054562764943,5974.848893610853,5969.403215324337
M83,4267.282170972286,4069.900331690321,3990.6638032612973,4047.4532432963497,3981.8032911571727,3674.6732013115675,3709.6552308896507,3528.922182851766,3467.175524886316,3576.799043973868,3535.325256011863,3664.0818969360375,3384.6799575224422,3291.4769367479657,3236.311580634362,3275.3779938915945,3260.945474999014,3144.2746275124887
M122,18400.092330660103,18348.434470155786,18586.5262090944,18456.77578815103,18768.476995529778,18852.519784308384,18804.607165216625,18567.866180708515,18535.627015727638,18572.226365641414,18656.664904633566,18727.140393051355,18834.482424233283,18871.885567592097,18965.085064755178,18952.61196664666,19080.388550315103,19113.958600465343
M125,9757.718294237251,9647.42382408092,9136.709014256718,9369.669755647648,9829.671387622262,10302.355660297284,10420.354346638453,10362.619104321495,10073.671326855143,9780.417768263276,9219.458190810228,9037.230635460834,9227.97370607746,9137.201613157882,8902.807018076703,8945.06624828198,9068.53528648701,9247.562415875673
M130,3436.0488637651633,3569.0863092243026,3675.63326662741,3748.8161414238375,3854.5350315975825,3901.4558954293243,3890.700291548697,3884.3304342908714,3888.0622679833145,3916.2069746771804,3920.5536632740886,3947.846694881169,4023.267124876215,4068.649399130958,4099.705226568097,4113.342472270555,4135.209281109334,4133.886314083515
M134,1443.0738617935683,1499.8358633266275,1465.9846085875056,1466.2905881081101,1443.7244340635455,1449.3906872888465,1458.3855857154344,1479.6607077720234,1482.4188687071075,1466.8815687821698,1449.9710024003216,1459.6907858397108,1466.143028057303,1484.4538822006398,1476.0103338694394,1468.9167656132406,1461.5203416408713,1462.3347724832067
M147,1103.964087486267,1101.7859942913055,1095.35368424654,1097.6018286943436,1094.4332627654076,1095.6700722575188,1097.332454442978,1097.0748550891876,1103.923006772995,1105.5492837429047,1105.657215833664,1101.9472969770432,1100.959401845932,1098.623460650444,1095.8707068562508,1096.6794921159744,1094.7929845452309,1095.0106538534164
M161,10262.83747376723,10209.437185521132,10112.363825602466,10122.783238844208,10163.69404967432,10146.753389939173,10228.19707087905,10203.260643454574,10058.10258758591,10054.062744377816,10083.40955338552,10047.660828004515,10060.61441208463,10043.706651977514,9998.77930230682,10009.486156904159,10031.939414872259,10031.856356486665
M171,2846.810195756124,2856.083159294576,2873.0034105898753,2875.9629970656133,2878.872302559577,2881.327881872141,2884.6781870447066,2889.126299927845,2893.7394883540665,2898.0788988301633,2902.079151771939,2906.6371418162134,2913.353328351188,2920.8125016743465,2930.452651175174,2934.2192560682597,2937.792907599687,2941.0779913280335
M177,2682.0994144768597,2668.9624008468627,2675.040861207314,2662.969287173322,2655.042803418184,2646.4801990888864,2638.812782888277,2631.5560464522355,2628.60661541528,2631.7901094693334,2627.9678045826845,2626.2261986053322,2607.796812699714,2599.315417619408,2599.7537944177084,2593.5211886446496,2589.615864939422,2583.6073672383677
M191,1043.1631684679567,1101.5711827772116,1142.164672256917,1172.2506206501084,1197.2286152552424,1219.1403288645351,1236.8766383171355,1225.3357278460246,1230.297811941233,1224.8512689477823,1218.5927682882393,1257.7314782255091,1286.6233914682548,1307.2236542207906,1316.876940459363,1318.3887073813491,1318.4686961695527,1321.4241521964304
M205,9673.142199075863,9860.80504784979,9933.66232994118,10032.962073805531,10090.316887592988,10139.288099360441,10160.943333843568,10246.602364814154,10236.920062601273,10424.226326510152,10269.818035464717,10263.689086336719,10380.16453021418,10423.663690607142,10448.269471963966,10468.571579260466,10450.726234339687,10433.466000567409
M209,1826.2333592814769,1841.916995628229,1853.7567192223974,1861.3092453891861,1865.6773848414553,1871.3983676708608,1876.8222111940804,1883.6801350510377,1887.628945460582,1895.9607907367267,1901.0680649368333,1905.9595963656973,1914.0762699996314,1919.3792859651649,1923.7599983972848,1926.558391087782,1928.2106941969625,1930.5763270035602
M218,1171.6664050369013,1176.9802816817491,1180.608536944608,1182.7067967586067,1186.6582362421116,1188.2412337843284,1190.1242660482626,1190.9596606828675,1194.383322183493,1197.1698350462102,1194.7720703345947,1197.789807234226,1194.7141179366802,1194.9151324288111,1195.2821099974292,1195.0591135225507,1195.8012219547038,1195.6329833062757
M246,1186.5566297724638,1172.7694812343439,1156.933083790428,1147.0064993382439,1143.921692847965,1132.116069639124,1122.0512739116843,1111.7412977631484,1104.5708447393004,1111.805583836647,1110.2202883651519,1107.073328880628,1093.9817302287765,1088.131876375208,1081.94884151621,1080.846401950639,1082.4200433804922,1078.7950829793392
M249,9125.328029347738,9178.42505182696,9218.2993242293,9222.798693214714,9241.224679953124,9255.824776210598,9268.092227007362,9305.23150897903,9323.236151084448,9313.31846045792,9299.699212035732,9291.77822355862,9359.505813362623,9401.516125269716,9429.571974577711,9429.042948717532,9425.491308298,9421.95604829493
M251,3092.5641537275974,3173.324778592646,3206.7806716268033,3197.7276225848636,3202.910583070781,3229.4504548462164,3289.1695678629335,3356.719408084951,3389.4548986539494,3351.969895720982,3321.9227988253965,3345.2054709779213,3365.695859139545,3403.4962558787734,3413.5946430423032,3404.8271068464983,3407.1699300792384,3422.1413424178922
M253,3766.0908049679283,3892.0032312609706,3884.0015717060714,3812.092080643352,3757.788802666161,3733.787136020509,3768.2227748434602,3804.8174394382595,3824.2824444523276,3743.1469015044718,3647.9889896969416,3664.664881787374,3672.182905812301,3719.020378225585,3706.2214591302286,3658.713233472722,3622.255291948295,3610.9526188649597
M254,1803.3494736384957,1811.9444028342293,1802.1905373164457,1783.619196515081,1772.6421514715491,1769.064459051799,1773.7890768234056,1780.415941875535,1784.1742986121271,1776.1154079488317,1764.485181870165,1770.5044944270458,1767.750772536224,1774.8000388554992,1772.1100537172076,1763.855790364051,1758.5909031375409,1757.280655214534
M255,1964.469159512586,2035.87939193724,2044.0197681474433,1999.6904657968141,1979.1789770015573,1955.7257035661505,1981.1383389620455,2009.2372749734072,2023.1465633002904,1978.2556479462492,1941.1585485824878,1957.146845220402,1971.9786389160731,2009.3703591811802,2014.342766432771,1989.9431948550912,1975.5908573159115,1968.3381092338384
M256,2234.8204759579257,1946.818171882732,1694.994078997476,1474.349241554411,1299.2033189947733,1150.4842497319135,1040.8015670093864,927.8816463496169,877.400067806703,826.5513742083326,772.2596192910366,726.851397032256,490.63621083920316,367.0916763555431,256.14364144483034,169.16289757325922,106.96079073617193,50.06393090611755
M259,1241.1637214321252,1254.2617275015366,1267.3401750519934,1277.2382028581305,1286.9124562077495,1289.7935100728484,1289.4944026553644,1298.7208389163272,1305.7775009621867,1309.2836929361824,1314.9896487714482,1319.464626174871,1330.6384126709659,1337.6956418302168,1343.8567303681355,1348.4627586365968,1351.7047397483057,1352.6435832110308
M272,3153.693372916279,3315.5480329309244,3709.850348061955,3928.3429294014986,3784.460936171663,4620.840884169058,4541.145894225134,4723.618679651865,4807.413663542285,4824.018881548292,5003.728370208735,4545.896049770082,4836.017201460631,4867.57027794272,5006.917682459938,4936.807296658262,4864.847353199577,5071.553776507554
M276,5980.895429604681,6169.940305576332,5780.987819382143,5555.768435982015,5738.024416300841,5696.564112491478,5350.25655358305,5363.104871525528,5658.303516432845,5763.061057616698,5927.850004233995,5872.557084806715,5598.244343175,5653.794093301985,5532.013953234729,5463.528084584602,5578.842937379584,5529.956190458281
M277,3980.2449251614394,4066.681184917909,3538.0454669236387,3518.4735786620813,3567.5121234834205,3835.299510007907,4277.969802138771,4200.046430933899,4261.70555352951,4449.08350905211,4217.306019659591,4459.774766407454,4511.108103046859,4509.389270995758,4289.317120236264,4274.057357778633,4286.877400783209,4398.752515516695
M302,3885.9960540152247,4072.1545282864427,4299.055332547409,4565.315416978536,4818.125572643197,4853.125876392873,4757.299529769286,4887.898830130924,4810.570420025753,4768.653701179259,4484.254195132179,4219.503240218901,4250.497010336193,4350.988397390914,4507.771217179753,4676.752677362646,4810.493475956014,4832.791850236654
M318,1335.5474636496915,1263.1203874825696,1235.7622139708074,1118.8512201196888,1130.2918316917423,1095.9588724863888,1082.3820492845332,1080.7134329551118,1078.2427553782577,1105.499507493741,1087.7304224935415,1077.6533436204315,1022.0870228663476,994.0195002725404,979.9394540624867,933.6723369848868,942.9765534895791,926.8286299231572
M324,1139.5662944871083,1126.7038972439746,1083.709637515357,1058.4372542637343,1038.5233848318676,1026.2158816694691,1034.0425662468565,1046.3110758872717,1048.2270716438397,1047.3191829282043,1053.425729703224,1076.2037174123138,1059.8305313722135,1061.7322155569225,1058.0347707812234,1063.45593285527,1062.0228647563233,1053.7197940998606
M350,-6510.598393331926,-3118.307719924498,-263.01762264089666,1569.2967813532687,3114.403897936796,3879.4377971469257,2915.5412701932437,2809.212077835731,3511.1988377595844,4325.3569368899025,4736.542329140467,4522.468451477963,5155.076037524364,6111.886856437299,6991.67813687774,7524.1437185417135,7798.716377139127,7578.66728215923
M359,1342.8090821820754,1335.7866381087015,1281.1711085559834,1329.0197641283587,1328.6251211902556,1358.9675478985314,1386.0217134673217,1382.830599063984,1386.4807506086183,1351.1672849189135,1399.9998781826023,1311.9819968214938,1327.321900054059,1318.3647273081049,1300.6485812251362,1321.5897767756744,1319.2610860163327,1330.0010142485874
M362,2098.402318764351,2047.9855073932454,2067.9909726497604,1953.806764596857,2046.0119482430287,1975.7773464791326,1992.5371592447605,1947.7530055365014,1931.7264715881445,1978.1178211946017,1996.362248978203,1886.7779800151336,1873.84621363464,1852.312772230825,1853.4965778040373,1820.969682543789,1859.6272094970107,1824.9657021115706
M380,9080.754284915414,8407.699323394761,8719.045858153242,9225.042990032141,9516.998956723817,9570.770471362448,9315.133674130002,8886.915544588594,8948.941598914767,9248.555178214676,9346.565097772822,9217.010413704465,9051.938242911981,8839.24689422986,8900.713374760868,9057.0445831244,9181.499214793845,9193.634648904128
