V1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
D10,2563.852594614029,2566.979357600212,2563.1111882925034,2561.239193677902,2559.007502913475,2555.485876917839,2553.9213684797287,2552.898658156395,2549.4339042901993,2545.467212200165,2542.834545135498,2545.676206469536,2552.596019387245,2556.347943544388
D26,2485.0724571469304,2469.872726148739,2459.534441767179,2450.9021493660284,2441.553020460573,2432.86205671427,2424.8802332859614,2416.915398704181,2407.9176451858684,2402.8447346958546,2405.8255238762667,2407.85403034843,2409.564389339161,2412.027275510145
D42,7547.024344572545,7470.609996696209,7461.452612715266,7472.25760532331,7510.441929401734,7524.574063239597,7529.220310290867,7574.012096754313,7650.850747051641,7715.7031766207365,7772.741641029788,7835.081576991117,7895.545281633045,7946.277007321216
D46,10939.113812028947,10869.699840938521,10801.185412643275,10728.09028879554,10686.79856962879,10650.0797016683,10618.625028998236,10578.950011477395,10568.931900863414,10557.924231732086,10547.811143538425,10537.801226786018,10531.733482972433,10528.860388209596
D62,6376.044982224703,6357.909519672394,6338.74369725585,6330.3533156216145,6328.456940203905,6330.165806412697,6322.012101560831,6322.211517095566,6318.278388828039,6312.72578433156,6311.054025143385,6312.154805064201,6314.614972770214,6317.729093879461
D64,1044.2578636705875,1043.3318029940128,1040.4012928307056,1038.0669710934162,1037.1134087741375,1037.1580528616905,1036.9851169288158,1035.4507390856743,1033.7921614646912,1032.2390559613705,1030.1914738714695,1027.0194948613644,1031.4749084413052,1038.302025347948
D67,6207.785907335118,6228.064522610359,6246.672468160018,6263.891244729228,6280.427479490025,6299.973269155149,6318.782560307242,6336.118654247943,6355.99870091127,6389.3817908035035,6419.93792316595,6457.173580320722,6490.252153108305,6524.135438078492
D77,1924.405673472826,1926.2192765624377,1928.6577393900795,1931.1223560448352,1935.284524941646,1937.2382311711604,1938.2207089813608,1939.2159778346186,1941.5004162936045,1942.8935902967846,1945.3445117599103,1944.8892337834668,1947.5818953231492,1950.0888607015058
D84,1744.429860341549,1745.9098721027376,1747.621298748255,1748.262630391121,1749.5693704962732,1750.4842641830446,1751.5662321627142,1751.3507115423681,1751.934638041258,1751.6119043111803,1752.1190700411798,1750.7712135493757,1751.4219112277033,1751.6674387931826
D85,6700.4565291524295,7051.333373224954,7322.816488229901,7520.305101639019,7646.366201426434,7742.302222404211,7856.853442232769,7979.7763595020415,8097.673184360323,8200.062799624426,8304.600164342331,8408.407113226844,8501.418033072141,8573.642501405471
D86,8149.712364516472,8279.384008796118,8382.601375360155,8473.946192315152,8565.912450013124,8654.629330479911,8736.679819054643,8808.251604135552,8877.951791583722,8944.529618225737,9008.6901919485,9070.612972712912,9128.628861625892,9181.588344883854
D91,2076.6248766456647,2066.0035649803062,2060.8772483327043,2055.430247409464,2058.508038513444,2058.9137984457016,2059.564923472305,2063.064009154104,2066.2439802410004,2063.2141928762326,2066.293062438347,2069.025212971987,2073.091990828799,2076.7167076608894
D126,982.1980916024252,972.6007493670322,965.6550523189514,960.7892738111141,958.1093315390133,955.3302618732536,953.5563032065668,952.5893014715052,953.7778746930958,955.6828529455352,958.1220112735276,960.9042309132973,965.2278388280652,969.22461181806
D127,10595.963374039913,10557.952184298512,10543.072708235022,10527.616055485618,10518.321576171918,10514.542891934023,10510.465449931544,10503.502744586172,10497.037968848437,10500.34489113678,10522.608483456415,10542.226537945378,10562.729208098424,10579.968238013704
