V1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
M62,4396.175782954602,4433.200407489223,4535.514695875513,4645.395638876551,4442.709219354036,4777.336481706332,4412.346931307251,4375.727646037423,4312.128053251013,4564.097989054096,4157.026111099824,4445.458532056157,4426.347751938614,4445.174476965402,4510.228013988225,4538.586081574836,4445.021731455866,4579.779313157936
M124,7984.959562000498,5471.097204523982,7185.669335936326,9024.705379032803,7697.359587697694,8281.166226890986,7847.620079873746,8760.82782475174,8164.951222607858,10558.183918561408,10816.768214044692,6807.635352376736,8426.558841388767,6838.308843964332,8213.280567043006,9978.616695529197,9672.419984521242,9813.415937325466
M145,17674.09359780584,17751.374260977296,17954.182787348193,18009.85285966071,17964.230056055272,18089.43472701321,18163.628554753108,18339.71458237935,18366.833218702075,18372.465123757218,18370.29612046336,18298.0381425138,18404.908225196657,18506.804888616884,18637.488174602437,18682.530867371286,18675.59786265629,18735.806178706633
M161,10278.796761983023,10245.07692949957,10159.822294241854,10184.913154459507,10249.504442879335,10227.697441577979,10356.460397302923,10332.960336404227,10164.198942780196,10143.890318875747,10182.129411919997,10142.170914866636,10148.841127654632,10139.681669914291,10096.679264974244,10112.822533845077,10142.414025920112,10134.238231660065
M189,2291.526864051195,2300.01645770907,2307.5655805245515,2299.9748011661127,2296.5410375155475,2295.064589588163,2299.3683486878986,2300.8358098628787,2302.5301652156168,2301.6504367843586,2302.208873089223,2312.9717918766473,2319.8103912350703,2324.8109016657613,2328.2345249246773,2324.74953427925,2323.2773554131413,2324.2563015984424
M335,2854.9572937648595,2852.7705709292245,2854.34698895022,2854.7743945357442,2858.9739866916657,2865.837905537435,2862.9723477892576,2865.043814188612,2862.217516996522,2863.099425928621,2866.58088497657,2872.9225760358618,2874.820819493127,2875.4709822603163,2876.1013128739933,2877.1525946793663,2880.8963603368293,2884.3540874442174
M486,9513.161153596606,9525.311676233765,9538.558556116235,9546.324186490576,9575.169556008026,9607.768589683146,9629.534459307562,9655.201265795298,9670.441437219442,9680.437594819143,9684.709028325206,9702.96143024934,9729.384946155105,9748.561411934566,9766.719758652991,9782.684795668234,9808.937289686677,9837.965707566005
M510,9547.074393832752,9779.456851899666,9914.713678699383,9935.23278106956,9930.676748389544,10024.302937056262,10164.443501751457,10250.702675717243,10242.718680148959,10347.540976952972,10411.381499433557,10452.630665336208,10627.135331186528,10766.08240257637,10855.407031015777,10880.90847304503,10889.020385036525,10947.338382976563
M552,957.6402796796701,924.0119605124013,945.466810600519,1024.7274104285302,1061.7417118316569,1055.1838421321106,973.3750032019767,899.5230580946463,926.342282481858,999.0222949378824,1061.7567509055027,1054.8728115282058,957.3745498604682,911.8639744376219,929.3771707001118,990.0162534742973,1027.441349325651,1017.7194821838111
M577,9410.01112290975,9558.210623398758,9625.482456850033,9596.060754247455,9684.463252375332,9721.322690870371,9673.424458486645,9679.021040086984,9815.295029584317,9914.748753555241,9954.259973825127,9961.425987128308,9984.76877336116,10072.216644374996,10125.43178506376,10132.350409959738,10187.230496130582,10218.064432363099
M671,824.5121267330051,983.1655311663314,1111.1981377847308,1184.9907973139439,1267.8969842685951,1334.370927617393,1468.6560923582551,1447.1731834999064,1372.459923216793,1236.8654176919365,1242.4149615283145,1275.5622309142432,1362.4725586135291,1423.615951521255,1454.3663682444017,1467.0617806184812,1497.5380632012298,1540.6989336690501
M924,2185.0427543239557,2206.184901246809,2215.7646132360646,2205.0636437998587,2203.9615556507238,2173.9936640151564,2042.4393562131982,2025.070813111565,2142.455775787129,2178.999834903395,2190.117437026858,2170.339039322595,2131.463589577857,2129.1407014484703,2134.377436091764,2131.841188866005,2133.430480672482,2117.89160254686
M981,3235.88100014575,3261.0676218812587,3258.0562742726433,3307.773077030784,3292.6361931973406,3237.461083827547,3243.5845068105527,3236.958808513729,3299.6955144491963,3313.127709719379,3322.592189875902,3307.2166696253526,3292.9155079374723,3297.947644209613,3299.500251091894,3313.821263817489,3307.799517393451,3290.2406415342916
M1453,2854.9026281273073,2860.3091295803847,2867.8773277407427,2875.4104939123367,2879.9186443270905,2881.620310414688,2895.6257485287424,2891.215666060017,2887.2137128691797,2892.500767045177,2894.539858923036,2905.686246404079,2917.4915501418727,2922.9607052675437,2928.294149541129,2933.732254197617,2936.840032747335,2939.6165059884734
M1638,3737.4628268178103,3771.671095528949,3830.746166940422,3847.6592259924923,3876.985683281507,3823.8706822016456,3564.7311061724417,3600.193405594181,3835.4006666660935,3904.8000050177898,3940.4744000397945,3900.974583005242,3843.9498084413267,3853.0425428042,3883.4378795697417,3897.1146109620454,3922.6567759011564,3895.008555641011
M1730,1230.6521751504613,1203.5310365329126,1201.4676664375665,1201.7020681872496,1204.9611441864015,1208.3007274973597,1198.076685923358,1193.1099550670517,1194.9738871348022,1197.1527837187944,1209.9564372121547,1213.008888793999,1193.1738064618003,1182.591618462698,1181.74681208331,1182.2874732913624,1184.8584233034917,1185.9499070534114
M1744,5565.668207232028,5570.334550778562,5577.489366727142,5582.477906813392,5565.2882206663135,5594.2000490491,5609.59930127316,5596.4938428090145,5565.329760257016,5592.557826693813,5609.326609434928,5623.314631444364,5601.454657257961,5597.257316211072,5598.613141070177,5600.734944081979,5595.051094714706,5609.390518670015
M1903,2550.345483391683,2539.992261844246,2555.685833175668,2611.361704389636,2645.8685141067353,2676.003628246958,2689.4019867872244,2645.8492348276845,2608.0340990210234,2579.6037499638574,2570.605005503011,2559.1410353666215,2541.198853838724,2540.3700529412063,2548.534403406206,2572.883282217305,2586.675895551627,2596.6411332854555
M1942,5600.034906822696,5610.289781800108,5621.7950059371415,5625.739513280387,5632.4708183527755,5619.886725455207,5606.45334896772,5639.78404734389,5648.36603098356,5653.54705276177,5667.3630757470855,5659.415679055554,5628.202642919754,5632.889074206315,5640.146102140946,5645.112196745597,5651.771267258576,5646.700086233784
M2192,2320.9002855078475,2330.7148115201585,2327.857788129767,2306.5905696172254,2299.867853627495,2302.4511519008843,2309.650413312522,2310.438002296319,2330.3261553724583,2334.9570893571613,2326.638037201236,2358.7673196212418,2352.8412917296087,2353.480549769893,2350.947409002679,2340.1852509781042,2337.100594393528,2341.6951665916054
M2255,3213.8570345874873,3226.330189960773,3258.241532512511,3296.7987884211066,3324.6072568704326,3338.979849576654,3308.8900563985453,3302.0635649959663,3293.6786864446954,3288.4079974797096,3292.63163136275,3290.462051878658,3269.600695112428,3281.484028862045,3299.152094988833,3316.278177471243,3330.7428626909373,3338.140630129939
M2340,2018.2246572508666,2207.9640075300163,2178.676292206067,2255.6557810295544,2188.1747194667105,2122.865653335932,2144.1221778754366,2136.0925625034856,2251.6693269954117,2166.1768489492324,2213.296415060336,2187.129673888383,2161.5909989169777,2253.340855433908,2231.240263965522,2277.3771540281637,2248.8875485915723,2213.0593630082035
M2549,7516.232109373275,7378.498603560535,7526.884380762632,7523.767033336109,7734.18672747136,7856.06003185396,7725.596719625534,7831.070106082722,7851.46433630266,7790.675598323101,7791.8458773045695,7889.112291197422,7873.828065259658,7826.265391969627,7892.091616237143,7896.7846420525775,8001.825898016863,8055.782329351629
M2559,4709.440254560675,4720.529389501073,4763.729781239836,4785.68273512322,4789.370246592435,4804.402297006586,4808.7640346090075,4819.085374677434,4857.537958346367,4859.577776761676,4865.56888819069,4892.212121124546,4903.550900903657,4906.5795180722325,4922.349665074998,4934.427100321413,4935.275325368718,4937.549609473809
M2569,1953.6580729752782,1931.2042066931726,1976.3256144165996,1974.698786503077,2038.544987550378,2089.251983958483,2065.436609336734,2092.59608964026,2100.6054459154607,2104.505926397443,2114.9387617468838,2141.5271240681413,2157.583401438594,2155.113817462325,2177.171897107363,2179.8568873405457,2212.7530523061755,2236.963607680798
M2664,3851.763872371954,3871.3614974028037,3901.7725564534107,3921.8793477310155,3930.2487128692787,3971.739496724596,3996.4978295232277,4011.2737902771787,4016.2895973832574,4030.8044712631195,4044.4247821552062,4007.526206920024,4046.75682066199,4072.4945997224613,4099.311684335415,4118.000897482022,4129.104987593113,4152.247173651929
M3036,10842.919320949375,11020.600061016026,11419.275572935449,11558.543935714144,11879.979992364433,12320.55474355877,12359.009137382918,12517.329701935923,12601.13628597814,12602.249520159734,12829.572336189882,12924.344927997545,13101.257793134435,13302.580463492477,13577.159610057333,13721.370875589651,13952.765065611738,14216.979938702012
M3053,8857.82417553388,8691.36008416998,8650.924473964957,8532.918184519383,8471.277117826268,8325.294017942238,8283.682756430302,8303.061383654058,8291.1296409245,8165.922161804009,7985.321845358097,7941.415598095621,7817.265705300838,7720.402485294804,7682.017862424148,7613.832572619784,7564.262656006359,7484.715050447071
M3076,6241.0244240773845,6283.026408753244,6310.21911152873,6315.813008683968,6332.878875246006,6276.134380404629,6326.633444738831,6361.678060112149,6378.021588668128,6391.635874685122,6295.712866777613,6340.709352800799,6362.204172134805,6383.396077109996,6397.561446220983,6402.698266044815,6405.598748200833,6386.036121580251
M3158,6205.188324640261,6640.229227733383,6765.253254670655,7012.066135761967,7227.656397149023,6759.934382748144,6713.330257908861,6421.725513676542,6651.908034252224,7097.289174816406,7083.097329327137,6710.407629315132,6513.695760912398,6641.052406214901,6690.452836410106,6840.988257220944,6925.561007714548,6698.293761802118
M3331,7082.216365755468,7149.571420895849,7369.584485188349,7557.549815480317,7763.974118334514,7979.660807661116,8297.319289550365,7554.64866542542,7241.4483434993135,7573.995516199905,7545.7681726114,7692.484146011659,7729.469511309929,7737.662592219045,7832.746162364211,7945.299944838722,8032.746985204018,8158.9745985242935
M3359,6462.09221586846,6532.018934611798,6534.557156400822,6532.863761865541,6547.272793729794,6518.178985920968,6531.441159052533,6566.457595220719,6621.461255698235,6637.9282438512555,6618.402812677744,6603.2009646680945,6614.355672015629,6659.545395177848,6671.076154477493,6673.268881489781,6681.9468445382745,6669.9431453730485
M3404,7758.772445186059,7321.349008789556,9924.040401975872,9110.821124479455,9361.098880586262,10088.106734212666,9560.673125246018,9507.811079762083,10449.193793944647,10138.48017159935,10665.822526287138,12710.480650043046,11971.933934058974,11935.92336113086,13095.854191745148,12704.755439447918,12802.963637306082,13175.308477231581
M3426,7794.837758390683,7882.464208775265,7685.917229171982,7612.883566988474,7906.860682231832,7879.446182573213,8098.347888758387,7948.428784343525,7679.4894066940105,7640.330511762583,7449.86248784576,7643.59985760558,7723.044661775327,7771.299352289284,7655.360161156694,7610.370267122808,7718.5365234926385,7719.757273812053
M3431,6008.056515791359,5645.759122095831,5682.704804888894,5661.8373929469935,5845.614483052988,6132.227261976369,5999.550896298761,5972.350671130785,6012.5045067519,6026.564293054063,5985.037878463994,6173.488865338409,6059.923862454423,5973.148649380478,5994.793077973574,5993.340523508824,6067.121856101846,6189.643079401373
M3455,5215.763177308731,5372.160028556793,5363.15504452387,5138.752657030189,5141.41998920914,5198.8445489970645,5114.3782481676035,5067.020600268937,4960.70683677828,4982.205599527798,5327.426287538412,5187.526326192663,4866.918210220856,4892.207801377585,4933.564157713813,4898.277049474124,4884.797495953043,4840.796686042924
