V1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
D10,2558.7430876493454,2558.735060095787,2554.8844896554947,2553.0462725162506,2551.6810944080353,2549.9152796268463,2549.3001837730408,2549.1321300268173,2547.9700490236282,2546.832452058792,2545.436059117317,2546.5643317699432,2549.6276770830154,2550.6823123693466
D26,2471.237691895568,2445.695284075296,2427.3539178265264,2412.0096643615293,2398.9296478789915,2388.060254677748,2379.5586080615913,2371.8541733356715,2365.0384624106273,2364.2736627587747,2367.150471677235,2371.55105228827,2376.4112476214236,2381.55404731687
D42,7503.941472307149,7419.6067285956915,7407.256566736099,7399.917842164069,7420.429547375325,7432.999116422976,7437.4834511538975,7461.689749567798,7504.3376191546395,7540.343927168638,7571.103800187459,7606.322535299646,7642.378290345614,7674.746719131595
D46,10895.540171675479,10797.9402879218,10713.197223120718,10636.287305778575,10582.184671589257,10540.85567885357,10505.852290511846,10466.541893269672,10447.76972994496,10435.275877000504,10425.086870221323,10416.081769917042,10411.823144229966,10406.15662808111
D62,6359.710952937603,6328.42119038105,6303.755848407745,6287.494336664677,6279.497974216938,6275.40099516511,6266.706940531731,6263.264716863632,6259.633935242891,6254.603019058704,6250.110447704792,6253.843296766281,6258.109185248613,6260.013703852892
D64,1056.4095714092255,1064.9629878103733,1071.5605065524578,1074.594424366951,1077.7458324432373,1080.091176956892,1081.667802631855,1082.5167407393456,1081.929252564907,1082.0219323635101,1082.482013463974,1081.5561002492905,1084.8855685591698,1089.5006833672523
D67,6180.4640084307775,6183.824870670834,6190.1845617730805,6197.815057712672,6209.339432494957,6225.300515438688,6246.754053338835,6270.600778207265,6297.828781282431,6330.765278785845,6362.748000486577,6396.677871441716,6428.610968430464,6467.686285447076
D77,1927.3053178352513,1930.7604957332092,1934.8325688839739,1937.7784319129958,1941.784488921641,1944.799466131285,1946.8940200936347,1949.1806524425406,1951.4255875866693,1953.4434617722593,1955.7407577557954,1956.4806312297937,1958.7442609752989,1960.7580930849153
D84,1745.6473431468012,1747.6394199907782,1749.2663359820845,1750.245735692978,1750.911971318722,1751.8184788405897,1752.3545316636564,1752.5727882862093,1752.7546115398409,1752.8120803117754,1753.22956879735,1752.626884776354,1753.0188075482847,1753.155454951525
D85,6493.19935790386,7083.350528083157,7552.9241432706085,7922.027312926389,8214.80707747922,8459.636820251972,8677.57134954908,8882.720843565183,9060.224448442048,9212.242093759993,9337.305791347575,9433.509793184874,9513.309133626455,9561.365378512874
D86,8621.864549375781,9109.307207930478,9501.46147751782,9804.318046900064,10055.57169269498,10234.746397134357,10390.159632697065,10522.595930428375,10639.498028436321,10732.124832172798,10810.265700619668,10860.359281056135,10901.37194495773,10915.972467857504
D91,2069.4441442899724,2057.08290429549,2047.9813197504106,2039.7997130363465,2037.680229501527,2035.389543387789,2032.3132897071605,2032.0253821194528,2031.9539272515067,2028.7011933559215,2027.9833862977666,2029.0350165475984,2031.6977773828862,2031.7194616636214
D126,976.8882752978838,965.3347102274273,957.3248457521757,951.1904077866259,947.2152650639732,943.858612839761,941.3813431399722,939.3705220722499,938.4604610743428,938.0371370492495,937.7871367056407,937.499422896543,938.132821721224,938.7640957106672
D127,10549.869478383629,10481.360565239356,10436.095229410876,10399.820778455372,10373.092437990128,10355.036133824702,10339.670881852588,10327.728880430826,10314.017151611553,10305.901581102391,10311.272151876688,10311.870163475203,10315.745333201203,10317.88326807196
D182,6576.100264113735,6567.496597147868,6564.844952277566,6560.851224111456,6555.6254394076395,6550.590894582826,6545.369729787084,6539.082460414755,6536.14043000663,6533.289217265138,6538.85687516651,6543.914701896492,6546.236509645538,6549.83626907172
D184,9795.361820065948,9823.18505982844,9829.688474765673,9862.20509963416,9866.85358906143,9877.153965216947,9901.674225126028,9906.034308296556,9926.814433926067,9938.758586494274,9946.251154930114,9959.914968078972,9955.209311358381,9952.646653001619
D198,7036.466441549146,7084.183944405076,7117.945627849233,7146.351250746296,7172.0784433944655,7189.530256307824,7199.474308983104,7207.556432718764,7219.787088115595,7230.1146732399,7234.282429535847,7235.395335801661,7237.397184634878,7237.933486380545
D199,7011.265135164261,7057.5692299366,7092.380414600372,7119.520323352814,7141.117811527252,7155.393123569489,7166.196469297409,7175.353450241089,7184.864132604599,7194.57825293541,7198.584293622971,7200.541411180497,7201.247507381439,7200.143454475403
D207,8027.546104412297,8035.714411755197,8044.5840141853705,8049.3422235256085,8054.580081178045,8057.481532348634,8056.748360211939,8057.226942402083,8058.500105359246,8057.010839461691,8053.778570617674,8052.832493906749,8051.9284224047615,8050.673596746932
D215,1233.4862259818474,1230.115909295922,1226.030471913888,1224.5684797124602,1221.7644345044534,1220.16217298725,1219.0161704938512,1217.9750264844731,1217.1967657824841,1216.8005853925947,1218.328814622597,1218.6344852501134,1218.0710080924257,1217.5709590348038
D231,1423.0163200744257,1402.683385120564,1386.3558611540857,1374.0180256857018,1364.9812381831096,1358.8553154965232,1354.2762698248143,1351.3858060070706,1349.3882401254,1348.0622427168462,1346.7811410001682,1346.6223416090638,1348.3260161530334,1348.940137934241
D241,1417.094846367836,1420.5157955735922,1423.6931508034468,1426.5375059843063,1429.2534919083118,1431.864843890071,1434.9452386796474,1436.6104924678802,1438.5411968827248,1438.6794237792492,1439.2905241250992,1439.3140578269958,1439.2906218767166,1439.062316864729
D249,1198.7821806129068,1198.4383969381452,1197.991415411234,1198.268463909626,1198.451144741848,1197.9220402240753,1197.8986532334238,1198.029511841014,1197.849284466356,1197.23287303932,1197.305951025337,1197.8376899007708,1198.0673312675208,1198.1071236357093
D252,1152.9417243139499,1153.7881321328064,1154.0984531532094,1154.3543218161828,1154.747827102864,1154.763985872155,1155.7376601110773,1157.076037421367,1158.0118399109426,1157.8776951750147,1157.8043303784002,1157.662569108724,1156.817825209548,1156.9722416429909
D257,1130.0373391866153,1130.186984951638,1129.2150461274275,1128.5399560482554,1128.4294389142067,1127.3222403139962,1126.7649831322185,1126.5315712473075,1126.3765866119606,1125.8658934454172,1125.813675767976,1126.00202834285,1126.2682730210881,1126.5910417297175
D258,1117.092720069885,1116.727152688503,1115.8062462729213,1115.4049968189,1114.4486022549866,1113.8281715238093,1113.472480908036,1113.4736712020633,1113.5890093559026,1113.101958426237,1112.9762419784067,1112.7904892396925,1113.4777569866178,1113.868608085513
D260,1080.3082309806348,1078.8494683235883,1078.477443883419,1077.9425837934018,1077.8135391014814,1077.5213786274196,1077.984113405943,1077.4407793140413,1076.852764121294,1076.86159704268,1076.5539767676592,1076.7187383270264,1076.4902641791105,1075.867827730775
D269,1018.0151099717617,1024.0606970930098,1028.3698467189074,1032.049811363518,1034.8551857596635,1036.577933333516,1037.5029586154221,1038.7162170821427,1040.0499942040442,1040.7943771898747,1041.3205297780037,1041.5636630147694,1041.2956211650371,1041.0248078423738
D274,1141.3099006677448,1142.0875063786527,1139.3972566064356,1138.1595991393617,1137.6762775467532,1137.3064104109692,1137.2075263791144,1136.8886607202685,1137.1696900328568,1137.4515852562902,1138.0868526502134,1139.071176085417,1139.3861638702156,1140.3373276191926
D281,1098.2940343290384,1100.4730577418934,1101.798198577822,1103.0527634362218,1103.9406746069624,1105.2178657471613,1106.6342089731804,1107.7177188756864,1109.3559413362755,1111.09662664912,1112.765894402439,1113.9120882277589,1114.841250818994,1116.5600730967722
D285,1020.2926330818506,1021.3451907355643,1022.9919601085534,1024.3861944074963,1025.4347963570644,1025.8024584421596,1026.4981560762656,1027.199501639394,1027.3742830794865,1027.766440967778,1028.251596592129,1028.6312616787452,1027.974164153189,1027.6963597203753
