V1,0,1,2,3,4,5,6,7
Q16,1800.7432846624881,1790.6559026997754,1813.5770130696312,1834.620439356234,1853.3086110771028,1857.4215533019103,1874.3828886778765,1898.25065976107
Q44,1257.7981397792778,1275.1137870628365,1267.924807961727,1260.343258782888,1275.4868255128172,1294.031518267004,1297.6110716726996,1298.2190932222868
Q49,8543.373916845027,8673.49894121858,8882.510145775917,8837.185730716967,8942.969644768544,8978.370667772062,9119.318604816312,9103.82382860175
Q52,5631.061808495535,5696.6670788628035,5767.817903593489,5781.807727153024,5851.335572202753,5872.903525662215,5924.143841582215,5919.738261935957
Q57,1405.7058361920585,1421.2238231560107,1430.6582444503197,1434.1833051100475,1446.7710483205472,1458.5285944200932,1470.4771033962115,1475.0148458677859
Q64,2857.022561831002,2786.9436446853874,2773.533242141839,2768.866910546252,2754.1794284992693,2762.0801182858822,2789.473684877865,2820.8074405074185
Q70,10555.89757717452,10585.806681848942,10612.526217069908,10659.769887343306,10680.8410542362,10724.76869795551,10761.362597045221,10809.268676269101
Q80,6823.590773732078,6825.367977495474,6823.557834622143,6837.004861131755,6836.795117193543,6841.792877565234,6841.363034605473,6844.481262372932
Q119,2924.3060487922785,2967.5011972812686,3004.7093531358723,3031.8053415661093,3069.6819449674103,3092.299841698571,3118.264999383752,3132.5168753025223
Q125,1315.9611094707848,1356.570244434238,1368.650950409327,1373.0515710794432,1384.9958976542705,1399.1981611566484,1399.2166838287542,1390.7975108981414
Q134,1107.958911693303,1086.9359672834275,1071.1885763137714,1062.5736929012496,1048.47607370702,1048.2124611660804,1047.5734261925209,1049.0991100256865
Q140,6939.922135973691,6950.387356830822,6938.582880146871,6973.738258617759,6965.265435418893,7030.496732786122,7076.917919024968,7139.77450564758
Q155,7121.871804782578,7681.062137769096,7667.080081498109,7344.116976807457,7530.805608850674,7943.026975186348,7959.7298669496495,7630.066043720306
Q160,1301.697153300047,1289.4994416832924,1322.9494687914848,1290.5688200891018,1311.4330016076565,1308.0249698460102,1329.3829500675201,1311.7344273626804
Q171,1175.7697612556597,1185.030003855527,1194.072905625747,1201.5954064102223,1209.212327858214,1215.782861737768,1222.5974715752457,1228.245039473227
Q174,1140.851332096354,1148.5762219231592,1154.7974683116354,1160.8864345326356,1167.0988409318616,1173.7651628833985,1179.8439064878676,1185.7233262304576
Q185,1122.4129655168701,1129.736769899218,1134.822214534509,1138.5959378947905,1143.3959963236493,1146.6302058775216,1149.561379289473,1150.469295376854
Q194,1147.3848583839067,1159.7076992930467,1168.98201585568,1177.0710047904865,1186.1130971699124,1192.883421249759,1198.8912874402897,1203.3061817301739
Q195,1143.7337368040653,1156.0156276043754,1165.0393010451132,1173.4551571324178,1182.406459488405,1189.2609530665586,1194.5525009314665,1199.0519239506234
Q210,4137.037173840172,2814.5374751027466,2641.9830122412654,3441.581255298479,3198.0103004098846,2555.5051986323633,2613.9265345718104,3149.0218725846375
Q230,10158.89538062082,10284.102332152295,10397.812892942244,10525.578450480145,10643.842961011764,10759.799686103539,10861.943796103993,10967.14114413088
Q234,7082.240477193356,6781.973076171163,6637.167360011996,6644.654950788353,6439.022947063273,6398.484285493567,6355.406777606274,6452.612762310549
Q267,11173.233340252453,10863.750890385792,10649.976121621026,10610.473900821822,10657.380393700125,10560.856194776527,10441.872143655135,10417.31375350288
Q269,4716.6097892911785,5329.3472703940615,5618.1029173865445,5905.082541318089,6187.96687836395,6409.754455704415,6480.8565819767855,6549.395081901901
Q279,6942.127533846788,6989.618069533256,7031.852769672592,7082.791319129436,7115.9504079625995,7174.471123977455,7230.495230149342,7300.410113411495
Q308,4721.360945389351,4540.078840291966,4695.530588483458,4622.813759236223,4742.723196653328,4682.0291409324045,4759.6908744269995,4737.017268622182
Q309,8284.543305338722,7936.100690933255,8110.976240859149,8359.94690059815,8417.160648102426,8336.037892679398,8359.054063004216,8459.510366400431
Q324,1882.7758844839136,1861.062534935069,1917.0243156892393,1961.2964415674908,1983.0684514089728,1979.1809887395102,2008.948296030597,2038.156110474648
Q328,13605.480779322354,11336.521638691724,12573.946942081478,13387.555182326545,14060.151254917677,12208.43295529773,13121.26222018439,13785.180167414166
Q338,2143.699917212719,1815.7730278768456,1646.9136059893851,1703.5938280168182,1396.8711619133687,1354.1203966014218,1285.112764087752,1436.820956161865
Q342,2164.9222929950756,2553.5614826358374,2988.0487449258385,3078.1251774538027,3192.7334685417195,3244.321448029483,3337.6810440007143,3188.537952917285
Q353,3134.617573081125,4161.317332071636,4229.618427829551,4185.788474504935,4416.208342140639,4818.550413475246,4966.113022076478,4682.145849202444
Q367,1030.5471640848623,1015.7043135873342,1016.3491468789852,1016.6115268042529,1014.8716749250267,1018.2896320269061,1026.2524466768843,1033.7633081603817
Q376,6880.695045669252,6858.182149126361,6643.06766811753,6617.602429724902,7149.5258449596395,7039.425091660067,6862.8691399554245,6863.663135391447
Q417,1371.382642135501,1361.4264325314612,1368.2811013536632,1353.0177608773567,1359.706728400919,1355.0778046215878,1361.978251181943,1356.6015727484603
Q428,1467.8256398531553,1446.9129919502934,1453.0059764725056,1448.2003492221152,1445.7310029622763,1439.8164397300013,1443.6781558758353,1443.5301528550506
Q436,998.236841503163,980.2310679331956,974.945379707278,969.6583734945007,966.7652475892473,965.4466595625897,968.1506196392658,970.2608357144745
Q440,6629.925402402225,6807.1324841024325,6710.610128401802,6796.226917686679,6795.756041035116,6909.2904298572685,6890.997850021554,6955.418771060614
Q443,9155.949354226323,9213.566004649723,9274.273294911845,9024.131658663773,9242.400774640882,9326.8615894409,9388.924680131073,9291.826727050775
Q465,9906.826480971004,9917.690955620066,10313.106439156176,9945.408951555464,10641.648764103233,10573.943201342992,10842.326386184635,10544.696050485749
Q467,13363.733050960564,13187.108987710759,13597.498820042967,13310.238816662051,13856.521710931172,13759.339566680601,14106.841388746368,13990.151997524252
Q473,14438.58713550241,13625.066091646937,14445.164534322057,13680.997487234961,14291.51493832549,13857.32981597488,14454.071396702038,14253.466399099983
Q476,9991.692324118352,10131.771844383662,10590.420487752843,10306.279918708193,10402.8177766395,10494.08006646054,10811.862856221684,10521.954018348568
Q492,4092.952672468825,4061.4429130776684,4078.249785528183,4093.742744204207,4102.643489225702,4123.63696100235,4161.546265727683,4197.542331665353
