V1,0,1,2,3,4,5
Y5,5392.432925703113,5369.781290295571,5383.873981240992,5419.153955285051,5511.859048311728,5655.652392511753
Y12,1802.8468631104681,1834.6706454335806,1859.3047055026686,1883.7695675381617,1909.8751853181088,1937.5116792449098
Y14,5039.646013442569,5237.257137003555,5428.420148603204,5608.830652583678,5774.088523989268,5908.822892416874
Y22,2671.758119066052,2906.633222514651,3067.7584520541377,3169.783218423117,3277.0419692434702,3361.265681003488
Y36,1101.1108128499566,1099.035453407235,1099.2741349497874,1100.4549523521305,1102.9031107490443,1106.8124328915492
Y51,7650.855935352827,7434.356123490425,7318.135580182662,7240.853731433013,7274.978207096064,7413.6296236916
Y72,9021.572664681966,9200.009576328917,9358.226115527184,9554.86685574132,9759.370635149662,9953.446903171995
Y76,9838.110995631629,9836.871728454793,9887.735518345447,9961.104160099807,10069.639482239621,10314.637674636844
Y86,2646.347201837605,2530.2910372764745,2457.434595130957,2366.5354180770937,2376.728059780939,2411.921558680433
Y104,1564.3453968243061,1506.0521511541015,1462.1366993541242,1442.353488569434,1449.1530778741737,1468.446800180794
Y108,1496.383934646849,1689.6628021008567,1784.2984197137978,1819.5269566514833,1877.5681835319974,1817.0780810977903
Y143,3159.298054719509,3130.137624856052,3134.0035374458475,3182.1955660646545,3263.3440347667934,3382.2701112385325
Y158,2689.6351229396782,2762.237549813774,2840.8695328814847,2925.3884274556576,3014.3870110983457,3106.9956143105014
Y169,5927.0486469087455,6142.2715759520015,6294.599737469932,6419.712452888352,6539.324796513649,6658.827460036592
Y173,16273.872818236276,17150.37830723358,17808.805160383905,18207.73489576716,18485.321207222456,18702.320938908495
Y177,3623.3316203943914,3690.6759040378993,3786.9281591359486,3903.5062116429212,4029.693455343549,4164.640882449349
Y202,6930.943166175519,6999.471660046925,7060.136393150958,7092.30796278137,7134.416904493037,7132.595732817369
Y218,2349.6013020539067,4132.206584998553,5008.0337841620585,5322.535922368781,5344.813311457215,5292.995960966145
Y234,8958.99744332655,8688.812210619302,8528.583324928637,8482.312371050983,8539.051511147805,8625.300726254645
Y251,2137.459089662754,2207.0136070705144,2290.311620433483,2389.796265516992,2499.095452499554,2610.7455656273396
Y260,7668.509339479693,8040.2538846265425,8392.767230844662,8669.705117645719,8862.449765806581,8996.792118434596
Y263,7472.103628420314,7454.988527815665,7472.873946790273,7523.2615382954955,7603.525439295352,7671.196594689562
Y264,2830.1856417849363,2873.9156892940005,2904.506084869036,2912.5602730279043,2941.81838838164,2977.29052854132
Y269,10952.959654723392,10856.845535336484,10825.840357497817,10869.433230805414,10908.972471501911,11142.29653389203
Y274,3629.95080958511,3626.3355003765646,3629.6059291082047,3634.0502680476034,3631.9304889078226,3629.098531487511
Y279,2061.8127300974124,2060.502128210101,2093.402185575315,2135.051564442658,2183.264287341225,2234.837265284199
Y290,4684.196752924133,4878.435051430618,5162.0117910529,5112.809812577843,4984.52402762139,4953.26337768491
Y293,2875.7969816045593,2991.0135818822946,3118.879058376086,3262.075451948471,3411.655169269609,3567.5508623418377
Y300,3357.7062719708383,2981.3179335544382,2554.3120835613763,2084.2013451288144,1560.1487184689934,1250.1531101430717
Y302,9826.689794019454,9624.160881595892,9482.172372524512,9449.079103495375,9488.876987796131,9582.364411692197
Y304,4720.849351562982,5067.145877718683,5269.220968614621,5395.8569755202025,5520.97467565087,5642.022238070418
Y312,647.1476526750205,782.229041309722,872.829821888003,919.2852781377899,929.0616078219069,961.2561932531747
Y321,8985.639145986812,8955.920469875966,8969.203021704843,9021.166750253928,9109.16189399171,9187.396960057175
Y332,6577.15054553185,6098.838567056409,5741.168857947809,5491.483972369937,5347.334165755159,5368.903769879907
Y341,1157.6609626281477,971.3004810406674,836.1411520098865,754.6349485562707,710.110848743719,681.8931841570271
Y362,3342.3662287106263,3335.6384737050926,3293.064602059542,3267.9205241475843,3247.484653230587,3234.575755064751
Y365,2469.1627460054383,2502.9239943768657,2536.373796114712,2570.134555217797,2603.409076439659,2635.4619478195577
Y369,16180.73207130926,16398.313831802152,16688.976630821253,17077.72265461164,17503.37012294774,17961.072839838565
Y388,6582.703449190937,7201.94374915214,7609.156155601965,7885.587160522903,8147.502641514377,8181.254693456729
Y391,5867.571009672493,6244.827541100896,6527.6664056476175,6697.869026437977,6812.797817116314,6979.3621895256
Y423,5608.668482557307,5680.176335827341,5765.043342175266,5867.378237583841,5971.495811144271,6090.096220771887
Y424,1953.6537611921426,1813.3537349314743,1689.3884343896916,1580.7219724067636,1550.2329626066423,1560.1054490353322
Y444,8508.859171693111,8319.413373848816,8167.6589781524135,8080.1047857402555,8036.250730060834,7987.46368794788
Y465,5803.739327784371,5870.2972688517275,5933.528920735127,5993.957960402361,6054.72471423281,6118.999022940944
Y494,4112.775070520075,3702.1643158353713,3242.107287133016,2989.4247439629103,3057.7471587147934,3364.450415526335
Y498,2995.318346919222,2851.3278307118208,2720.8585314083234,2627.966969007368,2558.970668319326,2595.3280239570363
Y505,6461.777420998534,6787.259432452005,7038.815157223628,7316.203974884569,7527.80871661647,7639.737755101619
Y507,5225.772187056741,5540.945728430264,5772.985973727502,6012.03124907676,6203.148251341593,6265.755461036531
Y515,5044.479114620627,5049.539734181337,5136.440853487186,5252.053542449438,5397.4910041236435,5526.3066625377105
