V1,0,1,2,3,4,5
Y5,5543.931437136266,5478.66690635932,5445.238907638611,5463.705406044091,5537.091206912937,5712.233360712746
Y12,1805.2987750518691,1839.7918713842744,1870.6018235857878,1890.6501158597664,1913.9574098372063,1940.1906793303947
Y14,4975.413667301357,5145.012626649062,5373.2961104165015,5599.187115171498,5772.385717845292,5917.380837633652
Y22,2666.383372657766,2915.4186136858966,3088.1276297504205,3181.976400887225,3289.7151441629276,3400.729671110005
Y36,1109.047869628239,1103.0838114286564,1101.5053836748116,1101.1816078606312,1102.4780080845267,1107.456133136446
Y51,7899.060609729016,7655.01124942979,7448.391422006361,7347.432025326204,7359.270044728601,7522.8095936063455
Y72,9491.83598746272,9490.145866115046,9549.679268074175,9641.232670534338,9720.105484153937,9965.674029285994
Y76,9817.042125259799,9831.386924257315,9854.529850372564,9917.899419095906,10137.310447911665,10416.173585182043
Y86,2689.173865079728,2536.544471934359,2402.042502286495,2382.2025786770546,2390.3424585102593,2458.57460220734
Y104,1576.7299385262597,1514.0868653342548,1476.300819181901,1465.9329410171872,1471.8488900654156,1501.7484215600484
Y108,1486.7563985237362,1689.2769502475971,1822.0329886139734,1820.893732323786,1890.2513750196154,1841.8850687688619
Y143,3201.7853808942623,3163.1998431287784,3186.082282452123,3225.160743360772,3318.6991913833276,3460.634613027111
Y158,2690.6371394103003,2766.027748938946,2849.417611728378,2939.821864011694,3032.229478970744,3122.2666390209465
Y169,5936.651727101195,6150.320118812863,6294.705719242738,6421.670769734565,6543.930863717713,6675.048191159922
Y173,15830.608190686607,16862.48445569433,17683.771561851932,18176.876422701826,18682.795069884254,18895.156766224613
Y177,3765.733421588846,3771.6978748560864,3827.8582221285524,3908.9930355568977,4002.4440284898606,4164.465055714749
Y202,6962.221146782146,7073.619448441045,7116.5791176454195,7198.637666692716,7200.62171218648,7185.322214768981
Y218,1912.1444472384628,3726.4090334305547,4785.398374476809,5517.101766458052,5626.350609129257,5991.425548455107
